PART,CONDITION
CHW XCONN,Not Detected
SYSTEM,DIRT
PIPING TORN,Not Detected
AIR FILTERS,DIRTY
TERMINAL DIFFUSERS,MISSING
VLV,STUCK OPEN
TYPE,Not Detected
AIR FLOW,Not Detected
INSULATION,MISSING
CLEAN FAN HOUSING,Not Detected
CLEAN FAN HOUSING,Not Detected
CLEAN FAN HOUSING,Not Detected
Not Detected,CALIBRATION
Not Detected,CALIBRATION
LABEL PLATES,MISSING
Not Detected,DETACHED
COOLING COIL,NOT ACCESSIBLE
VALVE,INOPERABLE
MATERIAL,INCORRECT
CLEAN FAN HOUSING,Not Detected
CLEAN FAN HOUSING,Not Detected
CLEAN FAN HOUSING,Not Detected
CLEAN FAN HOUSING,Not Detected
CLEAN FAN HOUSING,Not Detected
CLEAN FAN HOUSING,Not Detected
CLEAN FAN HOUSING,Not Detected
CLEAN FAN HOUSING,Not Detected
CLEAN FAN HOUSING,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
FASTENERS,MISSING
VALVE,CORRODED
TERMINAL DIFFUSERS,MISSING
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
15AF TYPE AIR FILTER,REPLACE
FAN BLADES,WORN
FCU,Not Detected
VENT,Not Detected
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
ALARM,DEWPOINT
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
SUPPLY GAGE,INOP
ROTARY SWITCH,INOPERABLE
PRE HEATER,RUPTURED
PRE HEATER,RUPTURED
MOTOR,CONTINUES TO GROUND
THERMOSTAT,INOPERABLE
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
A/C HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
A/C HELLAN STRAINER,PMS
A/C HELLAN STRAINER,PMS
A/C HELLAN STRAINER,PMS
A/C HELLAN STRAINER,PMS
A/C HELLAN STRAINER,PMS
A/C HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
HELLAN STRAINER,PMS
FCA,NEEDS NEW BELTS
CONDENSER LAG,NO 7
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
SPACE,INOP
UNIT,LEAKING
VALVE,DEGRADED
VALVE,DEGRADED
TEMP SWITCH,CALIBRATION
TEMP SWITCH,CALIBRATION
SYSTEM,DIRTY
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
Not Detected,LIGHT OUT ON VENTI PANNEL
LAGGING,DEGRADED
Not Detected,PAINT
EXH SYSTEM DUCTING,DEGRADED
EXH SYSTEM DUCTING,DEGRADED
EXH SYSTEM DUCTING,DEGRADED
VALVE,DEGRADED
VALVE,DEGRADED
VALVE,DEGRADED
VALVE,DEGRADED
VENT DUCTING,DETERIORATED
FINS,CORRODED
CHW PIPES,DEGRADED
VALVE,DEGRADED
FAN,BROKEN
VLV FAIL,FCA
FAN MOTOR,INOPERABLE
PANEL,DAMAGED
POWER AVAIL,LIGHT OUT
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
SUPPLY VENT FIXTURE,CORRODED
DUCTS,WORN
KNOB,MISSING
Not Detected,Not Detected
V BELTS,Not Detected
V BELTS,Not Detected
V BELTS,Not Detected
V BELTS,Not Detected
DUCT HEATER,INOP
FAN MOTOR,INOPERABLE
FCU,LEAKING
MOUNT,STRIPPED
POWER AVAIL,LIGHT OUT
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
FCU,PMS
AIR SUP,LEAKING
VENT SYSTEM,DIRTY
Not Detected,LEAKING
VENTILATION COVER,Not Detected
DUCT HEATER,INOP
MOTOR,INOP
VENT DUCT,CORRODED
Not Detected,INSPECTION
M INSPECTION,Not Detected
Not Detected,INSPECTION
Not Detected,INSPECTION
Not Detected,INSPECTION
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
LAGGING,DETERIORATED
ACCESS PANELS,MISSING
Not Detected,DIRTY
FAN ROOM,RUSTED
VENT ACCESS,MISSING
PREHEATER,DIRT
DEFECTIVE VALVE,Not Detected
LAGGING,WORN
LAGGING,WORN
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
RUPTURE DISK,REPLACE
AC MOTOR,WEAR
CO VLV,REPL
HANDWHEEL,DOES NOT WORK
VENT,Not Detected
WITHIN,CORRODED
1MC PATCH PANEL,DEGRADED
VENT SYSTEM,Not Detected
MAMS,ITEMS
COOLING COILS,BEYOND REPAIR
Not Detected,DIRTY
EXCESSIVE VIBRATION,Not Detected
CONDENSER,FOULED
MECHANICAL SEAL,LEAKING
TOTAL HEAD,Not Detected
AC CHWP MECH SEAL,DAMAGED
VENT SYSTEM,Not Detected
ACCESS PANEL,Not Detected
FAN MOTOR,INOPERABLE
Not Detected,BEARINGS
Not Detected,Not Detected
Not Detected,CALIBRATION
Not Detected,NOT CONNECTED
PLENUM,LIGHTING
FILTERS,MISSING
PRESSURE GAGE,BROKEN
PRESSURE GAGE,BROKEN
KNOB,REQUIRED
PARTS/,INOP
K INSPECTION,Not Detected
Not Detected,INSPECTION
Not Detected,INSPECTION
Not Detected,M INSPECTION
ACCESS PANEL,Not Detected
BELLMOUTH TERMINAL,MISSING
BACKWARDS,OPERATING
COOLING UNIT,CORRODED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
STRAINER,LEAKS
VENTILATION INLET PLENUMS,Not Detected
& BROKEN FAN HOUSING,CORRODED
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
HEATER CONTACTOR,INOPERABLE
AIR FILTERS,Not Detected
1MC PATCH PANEL,DEGRADED
SWITCH,PROPERLY
POSITION INDICATOR,BROKEN
BULB,MISSING
DIRECTION PLATE,MISSING
DECK LRC VENT FILTERS,Not Detected
CONDENSER CORROSION,Not Detected
Not Detected,Not Detected
VENTILATION INLET PLENUMS,Not Detected
TEMP SWITCH,CALIBRATION
MOTOR VIBRATING,EXCESSIVELY
EXHAUST SCREEN,MISSING
1MC PATCH PANEL,DEGRADED
OF COMMUNICATIONS,Not Detected
TESTING,NOT COMPLETED
VACUUM PUMP OIL,Not Detected
FCU,BROKEN
COIL UNIT,CORRODED AND LEAKING
NOT SECURED ABOVE CONT,CABLE
LABEL PLATE,INACCESSIBLE
VENT SYSTEM,DIRTY
HEATING COIL,BROKEN
VU METER,NOT DEFLECTING
Not Detected,Not Detected
SEACHEST VALVE,REPLACE
1MC PATCH PANEL,DEGRADED
Not Detected,CORROSION
Not Detected,Not Detected
INTERNALS,DEGRADED
INTERNALS,DEGRADED
INTERNALS,DEGRADED
INTERNALS,DEGRADED
INTERNALS,DEGRADED
INTERNALS,DEGRADED
INTERNALS,DEGRADED
INTERNALS,DEGRADED
ACCESS COVER,BROKEN
Not Detected,TUBING
Not Detected,TUBING
AIR FLOW,Not Detected
TYPE,Not Detected
DEFER VENT DUCT,Not Detected
UNKNOWN,Not Detected
Not Detected,Not Detected
BELTS,WORN
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
LABEL PLATE,INACCESSIBLE
DRAIN LINE,MISSING
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
FIRMWARE,OF VENT CONTROL
FAN MOTOR,BEARINGS
HEATER,MISSING
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
SW PUMP FOUNDATION,RUST
FILTER,REPLACEMENT
Not Detected,N302 OVERLOAD
OUT SCREWS,RUSTED
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
TEMP SWITCH,CALIBRATION
/INSULATION,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENT PLENUM,CORRODED
VENT PLENUM,CORRODED
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
OILY SUBSTANCE,LEAKING
Not Detected,MISSING OPERATING
Not Detected,INSPECTION
Not Detected,INSPECTION
TEST,Not Detected
FAN MOTOR,Not Detected
FAN MOTOR,Not Detected
FAN MOTOR,Not Detected
FAN MOTOR,Not Detected
FAN MOTOR,Not Detected
FAN MOTOR,Not Detected
DIFFUSER,DETACHED
FCU GASKET,DAMAGED
VALVE,INOPERABLE
VALVE,INOPERABLE
CRACKED COOLING COIL,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
FCU AIR FILTERS,REPLACEMENT
FCU AIR FILTERS,REPLACEMENT
FCU AIR FILTERS,REPLACEMENT
Not Detected,NOT SEATING
VENT COVER,DEGRADED
/OFF BOTTON,MISSING
Not Detected,DEGRADED
MOTOR,INOP
MOTOR,INOP
MOTOR,INOP
MOTOR,INOP
MOTOR,INOP
MOTOR,INOP
MOTOR,INOP
MOTOR,INOP
MOTOR,INOP
MOTOR,INOP
MOTOR,INOP
VU METER,INOP
VENT SYSTEM,DIRTY
PREHEATER,RUPTURED
PREHEATER,RUPTURED
PREHEATER,RUPTURED
SPEAKER,Not Detected
Not Detected,MISSING
Not Detected,INSPECTION
Not Detected,INSPECTION
Not Detected,INSPECTION
Not Detected,INSPECTION
Not Detected,INSPECTION
Not Detected,INSPECTION
SUPPLY SYSTEM,LOW AIR FLOW
1MC PATCH PANEL,DEGRADED
HTR STAINER,SEIZED
VENT,CORRODED
Not Detected,Not Detected
Not Detected,Not Detected
1MC PATCH PANEL,DEGRADED
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
VENT SYSTEM,DIRTY
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VALVE,LEAKING
6A/C AIRFLASK BULKHEAD,Not Detected
MAC BELT,REPLACEMENT
1MC PATCH PANEL,DEGRADED
VENT SYSTEM,DIRTY
VENT SYSTEM,DIRTY
ACCESS COVER,DAMAGED
CONTROLER ENCLOSURE,DEGRADED
CONTROLER ENCLOSURE,DEGRADED
CONTROLER ENCLOSURE,DEGRADED
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
EXCH,Not Detected
PRHR,Not Detected
PRHR,Not Detected
PRHR,Not Detected
PRHR,Not Detected
PRHR,Not Detected
PRHR,Not Detected
PRHR,Not Detected
PRHR,Not Detected
PRHR,Not Detected
PRHR,Not Detected
PRHR,Not Detected
PRHR,Not Detected
PRHR,Not Detected
PRHR,Not Detected
PRHR,Not Detected
PRHR,Not Detected
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
INTAKE SCREEN,DAMAGED
SCREW,BROKEN
SCREW,BROKEN
SCREW,BROKEN
SCREW,BROKEN
SCREW,BROKEN
SCREW,BROKEN
SCREW,BROKEN
SCREW,BROKEN
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
1A-2,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
UNION,LEAKING
VENT MOTOR,WILL NOT START
FASTENERS,MISSING
THERMOSTAT,Not Detected
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
ACCESS PANEL,BLOCKED
AROUND SIGHT,RUST
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
MOTOR,INOP
VENTILATION INLET PLENUMS,Not Detected
LAGGING,MISSING
SPEAKER MOUNTED,INCORRECT
AIR FILTERS,DIRTY
EXHAUST SYSTEM,DIRT
EXHAUST SYSTEM,DIRT
EXHAUST SYSTEM,DIRT
EXHAUST SYSTEM,DIRT
Not Detected,Not Detected
EXHAUST SYSTEM,DIRT
EXHAUST SYSTEM,DIRT
LABEL PLATES,MISSING
LABEL PLATES,MISSING
SWITCH,NOT PROPERLY
SW NOT SECURED,Not Detected
FCU,Not Detected
VENTILATION DUCTING,DEGRADED
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
CHW SOLENOID VLV,CHW-1V44
CHW SOLENOID VLV,CHW-1V44
CHW SOLENOID VLV,CHW-1V44
CHW SOLENOID VLV,CHW-1V44
CHW SOLENOID VLV,CHW-1V44
CHW SOLENOID VLV,CHW-1V44
CHW SOLENOID VLV,CHW-1V44
CHW SOLENOID VLV,CHW-1V44
CHW SOLENOID VLV,CHW-1V44
VLV,Not Detected
VLV,Not Detected
VLV,Not Detected
VLV,Not Detected
VLV,Not Detected
VLV,Not Detected
VLV,Not Detected
VLV,Not Detected
CHW-2V153,Not Detected
CHW-2V153,Not Detected
CHW-2V153,Not Detected
CHW-2V153,Not Detected
CHW-2V153,Not Detected
CHW-2V153,Not Detected
CHW-2V153,Not Detected
CHW-2V153,Not Detected
CHW-2V153,Not Detected
ACCESS PANEL,Not Detected
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
DEFECTIVE,LIGHT
DEFECTIVE,LIGHT
DEFECTIVE,LIGHT
DEFECTIVE,LIGHT
DEFECTIVE,LIGHT
DEFECTIVE,LIGHT
DEFECTIVE,LIGHT
DEFECTIVE,LIGHT
DEFECTIVE,LIGHT
DEFECTIVE,LIGHT
VENT EXCESSIVE,CORROSION
VENT EXCESSIVE,CORROSION
SUPPORT SCREWS,MISSING
A/C PLANT CHILLED WATER,POET
FAN IMPELLER SLIGHTLY,DAMAGED
SWITCH,INOPERABLE
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
Not Detected,CORROSION
Not Detected,Not Detected
BRACKET,MISSING
LAGGING,DAMAGED
LABEL PLATE,MISSING
PRESERVATION,Not Detected
DUCT,CORRODED
DUCT,CORRODED
DUCT,CORRODED
DUCT,CORRODED
DUCT,CORRODED
DUCT,CORRODED
DUCT,CORRODED
DUCT,CORRODED
DUCT,CORRODED
DUCT,CORRODED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
STRAINER,BROKEN
STRAINER,BROKEN
STRAINER,BROKEN
STRAINER,BROKEN
STRAINER,BROKEN
STRAINER,BROKEN
STRAINER,BROKEN
STRAINER,BROKEN
STRAINER,BROKEN
VENT SYSTEM,DIRTY
VENT SYSTEM,DIRTY
VENT SYSTEM,DIRTY
VENT SYSTEM,DIRTY
VENT SYSTEM,DIRTY
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
AIR CONDITIONING PLANT,POET
VENTILATION,Not Detected
FOUNDATION,CORRODED
1MC PATCH PANEL,DEGRADED
PATCH PANEL,DEGRADED
SWITCH,CALIBRATION
COFFERDAM,Not Detected
VENT DIFFUSER,DEGRADED
VENT DIFFUSER,DEGRADED
VENT SYSTEM,CLEANING
VENT SYSTEM,CLEANING
DUCTING,UNREACHABLE
STUDS,CORRODED
Not Detected,NO VENT ACCESS
ATXV TEMPERATURE PROBE,Not Detected
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
1MC PATCH PANEL,DEGRADED
AIR FILTERS,DIRTY
PLATE INCORRECTLY,Not Detected
BYPASSES COIL,Not Detected
TERMINAL DIFFUSERS,MISSING
TERMINAL DIFFUSERS,DAMAGED
FAN COIL,Not Detected
FAN COIL,CORROSION
VALVE,LEAKS
VALVE,LEAKS
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
COOLING COIL,DEGRADED
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
DUCTING,CORRODED
FILTER,Not Detected
FILTER,Not Detected
COMMAND FAIL,Not Detected
VENT SYSTEM,CLEANING
HEATER,MAKING
HEATER,MAKING
CHW SPLY,REPLACE
VENT,CORRODED
VENT DUCT,RUSTED
VALVE,LEAKS
VALVE,LEAKS
VALVE STUCK,Not Detected
FOUNDATION RUSTY,Not Detected
PROPULSION VENTILATION,"CAPS,"
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
COOLING COIL,CORRODED
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
VENTILATION OUTLET PLENUMS,Not Detected
Not Detected,HIGH DISCHARGE
HEATER,NON OPERATIONAL
THERMOSTAT,INOP
VENTILATION SURVEY,Not Detected
LABEL PLATE,Not Detected
PREHTR,CORRODED AND LEAKING
PREHTR,CORRODED AND LEAKING
EXHAUST SYSTEM,DIRT
EXHAUST SYSTEM,DIRT
EXHAUST SYSTEM,DIRT
SUPPLY SYSTEM,DIRT
EXHAUST SYSTEM,DIRT
